,Logistic Regression,Random Forest,XGBoost (Tuned)
Accuracy,0.601375,0.73925,0.772875
Precision,0.4696183771767321,0.596705764911405,0.6504322766570605
Recall,0.8860538273331003,0.835721775602936,0.788885005242922
F1-Score,0.6138757718852161,0.6962725684333139,0.7129995261412099
ROC-AUC,0.786891150925624,0.8376631224826443,0.8410542731702162
